Ticker,Date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
AACG,2020-04-07 23:02:36.648938,-,-,-0.66,18.70%,27.64M,-5.06%,24.88M,-,-,0.00%,21.47M,-7.22%,-17.90M,-,-,0.50%,0.15%,-37.22%,13.80M,1.80,-44.50%,-,1.45,-48.86%,1.52,0.59,-,-24.40%,7.00,-11.76%,0.79,1.14,25.00%,-43.70%,0.70 - 4.50,-33.87%,-,-,-49.00%,-39.30%,-80.00%,2.91,-,0.70,-22.50%,36.70%,28.57%,0.10,101,0.70,-,-,46.78,6.51% 13.39%,No,0.02,30.00%,-,0.88,0.95,Yes,0.00,Mar 30 AMC,-,21.81K,0.90,-,-0.33%,-12.34%,-46.69%,"19,112",-4.77%
 AAL,2020-04-07 23:02:55.224536,S&P 500,2.69,3.81,1.30%,456.46M,-16.16%,4.67B,3.22,3.17,1.09%,421.02M,-30.71%,1.69B,0.24,-1.58,84.80%,15.76%,-62.45%,45.77B,0.10,25.20%,-0.30%,2.02,-60.43%,-0.27,-,151.80%,2.80%,17.38,-69.83%,8.38,1.22,11.28%,-,9.09 - 35.24,-64.37%,0.40,-,-0.70%,10.30%,-71.00%,2.07,3.91%,0.30,1.40%,61.50%,12.43%,2.11,133000,0.40,3.40%,6.70%,34.51,13.11% 17.66%,Yes,-,35.10%,3.70%,4.19,9.50,Yes,-,Apr 24 BMO,10.50%,32.87M,10.22,3.10,-20.83%,-49.31%,-61.73%,"137,651,597",7.58%
 AAME,2020-04-07 23:03:12.741840,-,-,-0.05,79.74%,20.48M,3.79%,44.85M,-,-,0.00%,4.15M,-12.40%,-0.80M,-,-,5.20%,0.05%,14.06%,198.20M,0.23,28.70%,-,0.93,-12.75%,5.78,0.38,-,-0.20%,-,-19.02%,0.63,3.48,-,-0.70%,1.46 - 2.95,11.17%,0.02,-,-17.10%,1.10%,-25.76%,0.39,0.91%,-,3.60%,-,50.00%,0.18,151,-,6.30%,0.80%,48.59,8.21% 6.14%,No,0.28,531.80%,-0.40%,0.53,2.21,Yes,0.28,Mar 30 AMC,-,2.41K,2.19,-,-5.13%,-2.80%,-3.04%,"1,269",-0.90%
 AAOI,2020-04-07 23:03:31.117183,-,-,-3.30,6.90%,20.89M,4.61%,165.87M,882.22,0.01,-1.23%,18.71M,2.85%,-66.00M,-,-0.38,61.40%,42.69%,-36.12%,190.90M,0.87,0.00%,0.90%,9.00,-24.16%,13.61,0.58,101.20%,-13.60%,8.89,-36.48%,-,-,13.00%,-21.80%,5.00 - 15.98,-33.16%,-,-,-68.80%,-15.60%,-50.31%,1.86,-,1.20,7.90%,24.20%,58.80%,0.77,3115,2.10,-16.00%,-25.50%,50.58,7.31% 12.16%,Yes,0.49,-413.60%,-34.60%,0.65,7.92,Yes,0.34,Feb 27 AMC,-,887.58K,7.94,3.10,13.92%,-15.38%,-23.16%,"578,018",0.25%
 AAON,2020-04-07 23:03:48.545865,-,46.03,1.02,19.20%,55.82M,-2.84%,2.62B,27.65,1.70,-0.28%,40.68M,-9.15%,53.70M,3.84,0.35,74.60%,10.22%,-6.38%,469.30M,5.58,27.00%,0.86%,16.23,4.45%,5.57,8.43,13.20%,15.50%,44.50,2.67%,-,-,12.00%,19.60%,40.48 - 60.00,-4.98%,0.32,50.01,5.10%,18.10%,-21.75%,0.86,0.68%,2.00,5.70%,25.40%,15.98%,4.78,2290,3.30,9.20%,14.30%,46.84,7.31% 12.02%,Yes,0.02,30.00%,11.40%,1.11,48.23,Yes,0.02,Feb 27 BMO,31.00%,256.02K,46.95,3.30,-0.75%,-9.79%,-5.44%,"283,153",-2.65%
 AAPL,2020-04-07 23:04:00.882431,DJIA S&P500,20.49,12.66,0.10%,4.44B,2.02%,1151.68B,17.17,15.11,-3.44%,4.37B,-2.53%,57.53B,1.72,2.41,61.80%,0.88%,-13.06%,267.68B,4.30,-2.60%,0.03%,0.77,14.26%,20.28,12.79,18.76%,17.10%,310.09,29.65%,24.14,10.75,11.91%,60.20%,170.27 - 327.85,-11.65%,3.08,23.09,13.00%,26.90%,-20.87%,1.18,1.19%,1.60,7.30%,37.90%,52.36%,16.25,137000,1.60,8.90%,24.70%,48.90,4.14% 5.72%,Yes,1.22,19.30%,21.50%,1.02,262.47,Yes,1.05,Apr 28 AMC,23.80%,49.66M,259.43,2.00,3.27%,-9.05%,3.21%,"50,534,490",-1.16%
 AAWW,2020-04-07 23:04:17.912459,-,-,-11.47,1.80%,30.24M,-9.86%,699.75M,4.16,5.56,-9.19%,25.35M,11.09%,-293.10M,-,0.06,-,11.75%,-12.25%,2.74B,0.26,-218.60%,0.03%,4.08,5.61%,69.28,0.33,-18.63%,-5.00%,48.67,-54.17%,3.44,6.73,10.00%,-14.40%,14.97 - 51.99,-16.07%,-,4.20,-36.10%,-5.00%,-55.49%,1.52,-,0.60,8.80%,52.70%,54.58%,2.88,3587,0.60,-2.40%,-14.10%,50.03,10.51% 16.44%,No,1.33,-357.80%,-10.70%,1.16,21.97,Yes,1.11,Feb 20 BMO,-,730.96K,23.14,1.70,6.38%,-4.22%,-17.03%,"847,495",5.33%
 AAXJ,2020-04-07 23:04:32.135765,-,-,-,-,-,2.60%,-,-,-,-,-,-5.43%,-,-,-,-,-,-16.84%,-,-,-,-,-,-7.19%,-,-,-,-,-,-16.03%,-,-,-,-,52.95 - 76.44,-16.64%,1.15,-,-,-,-19.85%,-,1.88%,-,-,-,15.71%,2.64,-,-,-,-,50.05,2.16% 3.25%,Yes,-,-,-,1.19,61.00,Yes,-,-,-,1.82M,61.27,-,4.24%,-6.98%,-10.40%,"2,170,625",0.44%
 AAXN,2020-04-07 23:04:47.998300,-,5304.62,0.01,2.00%,60.62M,-2.56%,4.18B,45.37,1.52,-12.85%,58.38M,4.31%,0.90M,176.82,0.18,92.60%,9.19%,-1.16%,530.90M,7.87,-97.10%,-0.05%,6.77,26.25%,9.15,7.54,25.00%,0.10%,78.44,14.32%,5.79,11.92,30.00%,0.20%,49.80 - 90.10,-5.90%,-,83.94,-47.40%,-1.40%,-23.46%,0.87,-,3.00,26.40%,57.90%,38.47%,6.40,1323,3.20,49.70%,-1.20%,50.22,7.15% 10.25%,Yes,0.00,-624.20%,0.20%,0.97,68.00,Yes,0.00,Feb 27 AMC,0.00%,792.37K,68.96,2.00,7.28%,-7.38%,2.93%,"768,889",1.41%
 ABCB,2020-04-07 23:04:59.093499,-,8.03,2.85,4.30%,76.92M,-3.79%,1.76B,5.83,3.92,-0.80%,65.77M,-15.58%,161.40M,1.00,0.87,88.50%,3.24%,-45.77%,636.40M,2.76,-1.60%,-0.01%,4.55,-42.43%,35.50,0.64,4.59%,1.10%,38.70,-36.66%,8.96,2.55,8.00%,8.20%,17.89 - 44.90,-46.26%,0.60,-,13.50%,15.20%,-49.09%,1.67,2.62%,-,31.10%,-,27.78%,2.42,2722,-,58.20%,76.30%,41.88,7.76% 11.29%,Yes,0.16,-4.20%,25.40%,0.81,22.36,Yes,0.16,Apr 21 AMC,17.50%,468.81K,22.86,1.60,0.09%,-29.32%,-40.42%,"381,144",2.24%
